run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
PA-DSE_SCF+OFRS_matching_B30_sNone_6871351,PA-DSE_SCF+OFRS,matching,dynamatic,30,,0,SCF+OFRS,2,0.8,5,0.05,30,26,4,86.7,component_count,58.0,58.0,310,8,9.773,345.475,0,0,,0,0,0,0.59,4.10,133.95
PA-DSE_SCF+OFRS_matching_B30_sNone_7216826,PA-DSE_SCF+OFRS,matching,dynamatic,30,,1,SCF+OFRS,2,0.8,5,0.05,30,26,4,86.7,component_count,59.0,59.0,310,16,12.382,628.071,0,0,,0,0,0,0.54,4.16,157.80
PA-DSE_SCF+OFRS_matching_B30_sNone_7844897,PA-DSE_SCF+OFRS,matching,dynamatic,30,,2,SCF+OFRS,2,0.8,5,0.05,30,29,1,96.7,component_count,62.0,62.0,340,3,8.506,195.185,0,0,,0,0,0,0.58,5.05,142.36
PA-DSE_SCF+DFRL_matching_B30_sNone_8040082,PA-DSE_SCF+DFRL,matching,dynamatic,30,,0,SCF+DFRL,2,0.8,5,0.05,30,26,4,86.7,component_count,58.0,58.0,310,8,11.210,307.857,0,0,,0,0,0,0.57,4.66,116.75
PA-DSE_SCF+DFRL_matching_B30_sNone_8347939,PA-DSE_SCF+DFRL,matching,dynamatic,30,,1,SCF+DFRL,2,0.8,5,0.05,30,26,4,86.7,component_count,59.0,59.0,310,16,7.013,630.692,0,0,,0,0,0,0.35,5.20,158.93
PA-DSE_SCF+DFRL_matching_B30_sNone_8978630,PA-DSE_SCF+DFRL,matching,dynamatic,30,,2,SCF+DFRL,2,0.8,5,0.05,30,29,1,96.7,component_count,62.0,62.0,340,3,9.762,195.891,0,0,,0,0,0,0.51,5.03,132.19
PA-DSE_DFRL-only_matching_B30_sNone_9174522,PA-DSE_DFRL-only,matching,dynamatic,30,,0,DFRL-only,2,0.8,5,0.05,30,26,4,86.7,component_count,58.0,58.0,310,8,9.617,328.245,0,0,,0,0,0,0.00,4.95,131.93
PA-DSE_DFRL-only_matching_B30_sNone_9502767,PA-DSE_DFRL-only,matching,dynamatic,30,,1,DFRL-only,2,0.8,5,0.05,30,26,4,86.7,component_count,59.0,59.0,310,16,8.425,635.033,0,0,,0,0,0,0.00,6.14,135.31
PA-DSE_DFRL-only_matching_B30_sNone_137801,PA-DSE_DFRL-only,matching,dynamatic,30,,2,DFRL-only,2,0.8,5,0.05,30,29,1,96.7,component_count,62.0,62.0,340,3,8.801,210.519,0,0,,0,0,0,0.00,5.13,134.29
PA-DSE_SCF+RPE-reorder_matching_B30_sNone_348320,PA-DSE_SCF+RPE-reorder,matching,dynamatic,30,,0,SCF+RPE-reorder,2,0.8,5,0.05,30,26,4,86.7,component_count,58.0,58.0,310,8,10.878,340.646,0,0,,0,0,0,0.57,4.63,152.99
PA-DSE_SCF+RPE-reorder_matching_B30_sNone_688966,PA-DSE_SCF+RPE-reorder,matching,dynamatic,30,,1,SCF+RPE-reorder,2,0.8,5,0.05,30,26,4,86.7,component_count,59.0,59.0,310,16,11.749,621.990,0,0,,0,0,0,0.59,4.27,133.77
PA-DSE_SCF+RPE-reorder_matching_B30_sNone_1310956,PA-DSE_SCF+RPE-reorder,matching,dynamatic,30,,2,SCF+RPE-reorder,2,0.8,5,0.05,30,29,1,96.7,component_count,62.0,62.0,340,3,8.888,205.458,0,0,,0,0,0,1.60,5.39,154.56
PA-DSE_SCF+OFRS-skip_matching_B30_sNone_1516414,PA-DSE_SCF+OFRS-skip,matching,dynamatic,30,,0,SCF+OFRS-skip,2,0.8,5,0.05,1,0,1,0.0,component_count,,,,0,,1.003,191,191,,0,0,0,0.58,4.56,0.43
PA-DSE_SCF+OFRS-skip_matching_B30_sNone_1517417,PA-DSE_SCF+OFRS-skip,matching,dynamatic,30,,1,SCF+OFRS-skip,2,0.8,5,0.05,1,0,1,0.0,component_count,,,,0,,1.067,191,191,,0,0,0,4.31,5.06,0.50
PA-DSE_SCF+OFRS-skip_matching_B30_sNone_1518484,PA-DSE_SCF+OFRS-skip,matching,dynamatic,30,,2,SCF+OFRS-skip,2,0.8,5,0.05,30,29,1,96.7,component_count,62.0,62.0,340,3,8.764,200.267,0,0,,0,0,0,0.63,143.73,135.85
PA-DSE_no-filter_binary_search_B30_sNone_1718752,PA-DSE_no-filter,binary_search,dynamatic,30,,0,no-filter,2,0.8,5,0.05,30,16,14,53.3,component_count,34.0,34.0,237,9,5.868,127.703,0,0,,0,0,0,0.00,0.00,0.00
PA-DSE_no-filter_binary_search_B30_sNone_1846456,PA-DSE_no-filter,binary_search,dynamatic,30,,1,no-filter,2,0.8,5,0.05,30,16,14,53.3,component_count,34.0,34.0,237,10,9.251,112.060,0,0,,0,0,0,0.00,0.00,0.00
PA-DSE_no-filter_binary_search_B30_sNone_1958516,PA-DSE_no-filter,binary_search,dynamatic,30,,2,no-filter,2,0.8,5,0.05,30,22,8,73.3,component_count,35.0,35.0,257,7,6.067,124.942,0,0,,0,0,0,0.01,0.00,0.00
PA-DSE_SCF-only_binary_search_B30_sNone_2083458,PA-DSE_SCF-only,binary_search,dynamatic,30,,0,SCF-only,2,0.8,5,0.05,30,16,14,53.3,component_count,34.0,34.0,237,9,6.422,129.648,0,0,,0,0,0,0.58,0.00,0.00
PA-DSE_SCF-only_binary_search_B30_sNone_2213106,PA-DSE_SCF-only,binary_search,dynamatic,30,,1,SCF-only,2,0.8,5,0.05,30,16,14,53.3,component_count,34.0,34.0,237,10,8.774,107.721,0,0,,0,0,0,0.69,0.00,0.00
PA-DSE_SCF-only_binary_search_B30_sNone_2320827,PA-DSE_SCF-only,binary_search,dynamatic,30,,2,SCF-only,2,0.8,5,0.05,30,22,8,73.3,component_count,35.0,35.0,257,7,8.416,138.511,0,0,,0,0,0,0.59,0.00,0.00
PA-DSE_SCF+RPE_binary_search_B30_sNone_2459339,PA-DSE_SCF+RPE,binary_search,dynamatic,30,,0,SCF+RPE,2,0.8,5,0.05,30,16,14,53.3,component_count,34.0,34.0,237,9,6.448,137.330,0,0,,0,0,0,0.73,9.99,0.07
PA-DSE_SCF+RPE_binary_search_B30_sNone_2596669,PA-DSE_SCF+RPE,binary_search,dynamatic,30,,1,SCF+RPE,2,0.8,5,0.05,30,16,14,53.3,component_count,34.0,34.0,237,10,9.536,111.424,0,0,,0,0,0,0.50,8.29,0.06
PA-DSE_SCF+RPE_binary_search_B30_sNone_2708094,PA-DSE_SCF+RPE,binary_search,dynamatic,30,,2,SCF+RPE,2,0.8,5,0.05,30,22,8,73.3,component_count,35.0,35.0,257,7,9.208,146.985,0,0,,0,0,0,2.95,6.54,0.07
PA-DSE_SCF+OFRS_binary_search_B30_sNone_2855080,PA-DSE_SCF+OFRS,binary_search,dynamatic,30,,0,SCF+OFRS,2,0.8,5,0.05,30,27,3,90.0,component_count,34.0,34.0,237,10,5.509,179.911,0,0,,0,0,0,1.75,3.93,142.71
PA-DSE_SCF+OFRS_binary_search_B30_sNone_3034991,PA-DSE_SCF+OFRS,binary_search,dynamatic,30,,1,SCF+OFRS,2,0.8,5,0.05,30,29,1,96.7,component_count,34.0,34.0,237,10,6.915,184.274,0,0,,0,0,0,0.35,3.92,191.32
PA-DSE_SCF+OFRS_binary_search_B30_sNone_3219265,PA-DSE_SCF+OFRS,binary_search,dynamatic,30,,2,SCF+OFRS,2,0.8,5,0.05,30,29,1,96.7,component_count,35.0,35.0,263,3,8.441,124.904,0,0,,0,0,0,0.58,4.07,137.11
PA-DSE_SCF+DFRL_binary_search_B30_sNone_3344169,PA-DSE_SCF+DFRL,binary_search,dynamatic,30,,0,SCF+DFRL,2,0.8,5,0.05,30,27,3,90.0,component_count,34.0,34.0,237,10,6.195,178.692,0,0,,0,0,0,0.46,10.66,137.95
PA-DSE_SCF+DFRL_binary_search_B30_sNone_3522862,PA-DSE_SCF+DFRL,binary_search,dynamatic,30,,1,SCF+DFRL,2,0.8,5,0.05,30,29,1,96.7,component_count,34.0,34.0,237,10,6.268,172.924,0,0,,0,0,0,0.32,6.19,149.69
PA-DSE_SCF+DFRL_binary_search_B30_sNone_3695786,PA-DSE_SCF+DFRL,binary_search,dynamatic,30,,2,SCF+DFRL,2,0.8,5,0.05,30,29,1,96.7,component_count,35.0,35.0,263,3,6.968,118.676,0,0,,0,0,0,0.57,5.07,133.84
PA-DSE_DFRL-only_binary_search_B30_sNone_3814463,PA-DSE_DFRL-only,binary_search,dynamatic,30,,0,DFRL-only,2,0.8,5,0.05,30,27,3,90.0,component_count,34.0,34.0,237,10,6.461,135.711,0,0,,0,0,0,0.00,4.79,101.85
