strategy,benchmark,config_id,success,area,latency,error_type,synthesis_time_s
Grid_offline_ref,matmul,158,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,159,False,,,param_incompatibility,2.41
Grid_offline_ref,matmul,160,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,161,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,162,False,,,param_incompatibility,2.49
Grid_offline_ref,matmul,163,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,164,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,165,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,166,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,167,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,168,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,169,False,,,param_incompatibility,0.42
Grid_offline_ref,matmul,170,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,171,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,172,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,173,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,174,False,,,param_incompatibility,2.55
Grid_offline_ref,matmul,175,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,176,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,177,False,,,param_incompatibility,2.48
Grid_offline_ref,matmul,178,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,179,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,180,False,,,pipeline_phi_conflict,2.48
Grid_offline_ref,matmul,181,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,182,False,,,pipeline_phi_conflict,2.51
Grid_offline_ref,matmul,183,False,,,pipeline_phi_conflict,2.5
Grid_offline_ref,matmul,184,False,,,pipeline_phi_conflict,2.51
Grid_offline_ref,matmul,185,False,,,pipeline_phi_conflict,2.5
Grid_offline_ref,matmul,186,False,,,pipeline_phi_conflict,2.46
Grid_offline_ref,matmul,187,False,,,param_incompatibility,0.42
Grid_offline_ref,matmul,188,False,,,pipeline_phi_conflict,2.53
Grid_offline_ref,matmul,189,False,,,pipeline_phi_conflict,2.51
Grid_offline_ref,matmul,190,False,,,pipeline_phi_conflict,2.46
Grid_offline_ref,matmul,191,False,,,pipeline_phi_conflict,2.44
Grid_offline_ref,matmul,192,False,,,param_incompatibility,2.48
Grid_offline_ref,matmul,193,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,194,False,,,param_incompatibility,2.49
Grid_offline_ref,matmul,195,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,196,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,197,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,198,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,199,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,200,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,201,False,,,param_incompatibility,2.49
