config_id,rule,reason,source,severity
113,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
114,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
114,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
115,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
116,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
116,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
117,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
117,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
118,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
119,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
119,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
120,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
120,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
121,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
122,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
122,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
123,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
123,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
124,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
125,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
125,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
126,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
126,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
127,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
128,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
128,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
129,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
129,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
130,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
131,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
131,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
132,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
132,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
133,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
134,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
134,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
135,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
135,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
136,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
137,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
137,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
